k,diff-to-upper-bound
1535,1.75
1536,1.749755859375
1537,1.74951171875
1538,1.749267578125
1539,1.7490234375
1540,1.748779296875
1541,1.74853515625
1542,1.748291015625
1543,1.748046875
1544,1.747802734375
1545,1.74755859375
1546,1.747314453125
1547,1.7470703125
1548,1.746826171875
1549,1.74658203125
1550,1.746337890625
1551,1.74609375
1552,1.745849609375
1553,1.74560546875
1554,1.745361328125
1555,1.7451171875
1556,1.744873046875
1557,1.74462890625
1558,1.744384765625
1559,1.744140625
1560,1.743896484375
1561,1.74365234375
1562,1.743408203125
1563,1.7431640625
1564,1.742919921875
1565,1.74267578125
1566,1.742431640625
1567,1.7421875
1568,1.741943359375
1569,1.74169921875
1570,1.741455078125
1571,1.7412109375
1572,1.740966796875
1573,1.74072265625
1574,1.740478515625
1575,1.740234375
1576,1.739990234375
1577,1.73974609375
1578,1.739501953125
1579,1.7392578125
1580,1.739013671875
1581,1.73876953125
1582,1.738525390625
1583,1.73828125
1584,1.738037109375
1585,1.73779296875
1586,1.737548828125
1587,1.7373046875
1588,1.737060546875
1589,1.73681640625
1590,1.736572265625
1591,1.736328125
1592,1.736083984375
1593,1.73583984375
1594,1.735595703125
1595,1.7353515625
1596,1.735107421875
1597,1.73486328125
1598,1.734619140625
